"","gameId","playId","playDescription","defendersInTheBox","numberOfPassRushers","personnel.defense","play_type","qbr"
"1",2017091004,73,"(14:54) (Shotgun) C.Palmer pass short right to L.Fitzgerald to ARZ 27 for 4 yards (Q.Diggs).",6,4,"4 DL, 2 LB, 5 DB","pass",35.6
"2",2017091004,97,"(14:16) Da.Johnson up the middle to ARZ 29 for 2 yards (E.Ansah).",6,NA,"4 DL, 2 LB, 5 DB","run",0
"3",2017091004,118,"(13:34) (Shotgun) C.Palmer pass short middle to Da.Johnson to ARZ 43 for 14 yards (G.Quin). FUMBLES (G.Quin), recovered by ARZ-Ja.Brown at ARZ 44. Ja.Brown to ARZ 44 for no gain (J.Agnew).",5,4,"4 DL, 1 LB, 6 DB","pass",35.6
"4",2017091004,153,"(12:51) (Shotgun) Da.Johnson left end to ARZ 42 for -2 yards (A.Zettel).",7,NA,"4 DL, 3 LB, 4 DB","run",0
"5",2017091004,174,"(12:13) C.Palmer pass incomplete short right to Da.Johnson (N.Lawson). Penalty on ARZ-Da.Johnson, Offensive Pass Interference, declined.",6,4,"4 DL, 3 LB, 4 DB","pass",35.6
"6",2017091004,207,"(12:08) (Shotgun) C.Palmer pass short left intended for Da.Johnson INTERCEPTED by T.Wilson at ARZ 49. T.Wilson to ARZ 26 for 23 yards (D.Humphries).",5,4,"4 DL, 1 LB, 6 DB","pass",35.6
"7",2017091004,233,"(12:00) A.Abdullah left end ran ob at ARZ 21 for 5 yards (H.Reddick).",6,NA,"3 DL, 4 LB, 4 DB","run",0
"8",2017091004,254,"(11:29) (Shotgun) M.Stafford pass short middle intended for G.Tate INTERCEPTED by J.Bethel at ARZ 18. J.Bethel for 82 yards, TOUCHDOWN.",6,4,"2 DL, 4 LB, 5 DB","pass",0
"9",2017091004,316,"(11:08) A.Abdullah right end to DET 15 for no gain (K.Dansby).",7,NA,"2 DL, 4 LB, 5 DB","run",0
"10",2017091004,337,"(10:29) (No Huddle, Shotgun) M.Stafford pass short right to A.Abdullah to DET 17 for 2 yards (A.Bethea).",5,4,"3 DL, 3 LB, 5 DB","pass",0
"11",2017091004,361,"(9:51) (No Huddle, Shotgun) M.Stafford pass incomplete deep right to K.Golladay (J.Bethel).",4,4,"1 DL, 3 LB, 7 DB","pass",0
"12",2017091004,408,"(9:33) (Shotgun) C.Palmer pass short right to Da.Johnson to ARZ 36 for 3 yards (J.Davis).",6,5,"4 DL, 4 LB, 3 DB","pass",35.6
"13",2017091004,432,"(8:57) Da.Johnson left tackle to ARZ 42 for 6 yards (N.Lawson, A.Spence). ARZ-D.Humphries was injured during the play. He is Out.",7,NA,"4 DL, 3 LB, 4 DB","run",0
"14",2017091004,453,"(8:37) Da.Johnson left tackle to ARZ 42 for no gain (T.Whitehead; C.Washington).",8,NA,"4 DL, 3 LB, 4 DB","run",0
"15",2017091004,514,"(7:56) M.Stafford sacked at DET 7 for -7 yards (C.Jones).",6,4,"2 DL, 4 LB, 5 DB","pass",0
"16",2017091004,533,"(7:17) (No Huddle, Shotgun) M.Stafford pass short left to T.Riddick to DET 12 for 5 yards (A.Bethea).",6,4,"2 DL, 4 LB, 5 DB","pass",0
"17",2017091004,557,"(6:31) (No Huddle, Shotgun) M.Stafford pass incomplete short left. PENALTY on DET-M.Stafford, Intentional Grounding, 9 yards, enforced at DET 12.",5,4,"2 DL, 4 LB, 5 DB","pass",0
"18",2017091004,590,"(6:21) (Punt formation) K.Redfern FUMBLES (Aborted) at DET -8, and recovers at DET -8. K.Redfern pushed ob at DET 13 for 21 yards (I.Momah).",NA,NA,"0 DL, 2 LB, 5 DB, 2 RB,1 TE,1 WR","run",0
"19",2017091004,624,"(6:12) Da.Johnson right tackle to DET 12 for 1 yard (G.Quin; J.Ledbetter).",7,NA,"4 DL, 3 LB, 4 DB","run",0
"20",2017091004,661,"(5:32) Da.Johnson right end to DET 11 for 1 yard (T.Wilson).",5,NA,"4 DL, 1 LB, 6 DB","run",0
"21",2017091004,694,"(4:49) (Shotgun) C.Palmer pass incomplete short middle to L.Fitzgerald (Q.Diggs).",5,4,"4 DL, 1 LB, 6 DB","pass",35.6
"22",2017091004,757,"(4:36) C.Palmer pass short right to Da.Johnson pushed ob at DET 3 for 2 yards (G.Quin) [C.Washington].",8,6,"4 DL, 3 LB, 4 DB","pass",35.6
"23",2017091004,781,"(4:04) (Shotgun) Da.Johnson up the middle to DET 2 for 1 yard (A.Zettel).",7,NA,"4 DL, 2 LB, 5 DB","run",0
"24",2017091004,802,"(3:22) (Shotgun) C.Palmer pass short right to J.Gresham to DET 6 for -4 yards (M.Killebrew).",7,4,"4 DL, 2 LB, 5 DB","pass",35.6
"25",2017091004,876,"(2:35) A.Abdullah right tackle to DET 8 for 1 yard (T.Mathieu).",6,NA,"2 DL, 4 LB, 5 DB","run",0
"26",2017091004,897,"(2:02) (No Huddle, Shotgun) M.Stafford pass short right to G.Tate to DET 15 for 7 yards (A.Bethea).",6,4,"2 DL, 4 LB, 5 DB","pass",0
"27",2017091004,921,"(1:18) (No Huddle, Shotgun) M.Stafford pass short right to T.Riddick to DET 17 for 2 yards (J.Bynes) [F.Rucker].",6,3,"2 DL, 4 LB, 5 DB","pass",0
"28",2017091004,945,"(:46) (No Huddle) T.Riddick right end to DET 16 for -1 yards (C.Jones).",7,NA,"2 DL, 4 LB, 5 DB","run",0
"29",2017091004,966,"(:24) (No Huddle, Shotgun) M.Stafford pass short right to K.Golladay to DET 25 for 9 yards (J.Bynes).",6,6,"2 DL, 4 LB, 5 DB","pass",0
"30",2017091004,1030,"(15:00) (Shotgun) M.Stafford pass deep middle to G.Tate to DET 38 for 18 yards (T.Branch). Penalty on ARZ-P.Peterson, Defensive Holding, declined.",6,4,"2 DL, 3 LB, 6 DB","pass",0
"31",2017091004,1065,"(14:27) (Shotgun) A.Abdullah left tackle to DET 41 for 3 yards (K.Dansby).",6,NA,"3 DL, 3 LB, 5 DB","run",0
"32",2017091004,1086,"(14:01) (No Huddle, Shotgun) M.Stafford pass short middle to G.Tate to DET 47 for 6 yards (H.Reddick).",6,4,"2 DL, 4 LB, 5 DB","pass",0
"33",2017091004,1110,"(13:16) (No Huddle, Shotgun) M.Stafford pass short left to T.Riddick to DET 46 for -1 yards (H.Reddick).",5,4,"2 DL, 4 LB, 5 DB","pass",0
"34",2017091004,1157,"(12:37) C.Palmer pass incomplete short left to J.Brown.",7,5,"4 DL, 3 LB, 4 DB","pass",35.6
"35",2017091004,1179,"(12:33) Da.Johnson left tackle to ARZ 25 for 3 yards (A.Spence).",5,NA,"4 DL, 1 LB, 6 DB","run",0
"36",2017091004,1200,"(11:53) (Shotgun) C.Palmer pass short middle to L.Fitzgerald pushed ob at DET 42 for 33 yards (Q.Diggs).",6,6,"4 DL, 1 LB, 6 DB","pass",35.6
"37",2017091004,1224,"(11:20) C.Palmer pass incomplete short right to Da.Johnson (H.Ngata).",6,5,"4 DL, 3 LB, 4 DB","pass",35.6
"38",2017091004,1281,"(10:49) (Shotgun) C.Palmer pass deep middle intended for J.Brown INTERCEPTED by G.Quin at DET 33. G.Quin to ARZ 42 for 25 yards (J.Gresham).",6,4,"4 DL, 2 LB, 5 DB","pass",35.6
"39",2017091004,1342,"(10:19) (Shotgun) A.Abdullah right tackle to ARZ 47 for 5 yards (H.Reddick; K.Dansby).",6,NA,"2 DL, 4 LB, 5 DB","run",0
"40",2017091004,1363,"(9:47) (No Huddle, Shotgun) M.Stafford pass short right to A.Abdullah to ARZ 44 for 3 yards (H.Reddick).",6,4,"2 DL, 4 LB, 5 DB","pass",0
"41",2017091004,1387,"(9:05) (No Huddle, Shotgun) M.Stafford scrambles up the middle to ARZ 29 for 15 yards (T.Branch).",5,NA,"2 DL, 4 LB, 5 DB","run",0
"42",2017091004,1413,"(8:19) (No Huddle, Shotgun) D.Washington up the middle to ARZ 24 for 5 yards (J.Mauro).",6,NA,"2 DL, 4 LB, 5 DB","run",0
"43",2017091004,1434,"(7:40) (No Huddle, Shotgun) M.Stafford pass incomplete short middle to T.Jones (A.Bethea).",6,4,"2 DL, 4 LB, 5 DB","pass",0
"44",2017091004,1457,"(7:33) (No Huddle, Shotgun) M.Stafford pass short right to E.Ebron to ARZ 19 for 5 yards (T.Branch).",6,4,"2 DL, 4 LB, 5 DB","pass",0
"45",2017091004,1481,"(7:09) (No Huddle, Shotgun) M.Stafford pass short middle to G.Tate to ARZ 13 for 6 yards (K.Dansby).",6,3,"2 DL, 4 LB, 5 DB","pass",0
"46",2017091004,1505,"(6:34) (No Huddle, Shotgun) A.Abdullah right tackle to ARZ 10 for 3 yards (H.Reddick).",6,NA,"2 DL, 4 LB, 5 DB","run",0
"47",2017091004,1526,"(5:50) A.Barrett reported in as eligible.  D.Washington right end to ARZ 4 for 6 yards (H.Reddick).",9,NA,"4 DL, 4 LB, 3 DB","run",0
"48",2017091004,1549,"(5:09) (No Huddle, Shotgun) A.Abdullah left tackle to ARZ 6 for -2 yards (C.Jones).",7,NA,"2 DL, 4 LB, 5 DB","run",0
"49",2017091004,1570,"(4:30) (No Huddle, Shotgun) M.Stafford pass short left to M.Jones for 6 yards, TOUCHDOWN.",7,4,"3 DL, 4 LB, 4 DB","pass",0
